user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
1,Jennifer Jones,24,Advanced,"['Graph Theory', 'Deep Learning', 'Human-Computer Interaction', 'Mobile Computing', 'Internet of Things', 'Pattern Recognition', 'Neural Networks', 'Bioinformatics', 'Algorithms', 'Web Development', 'Artificial Intelligence', 'Digital Logic']","['Deep Learning', 'Algorithms', 'Human-Computer Interaction', 'Graph Theory', 'Digital Logic', 'Internet of Things', 'Neural Networks']","['Pattern Recognition', 'Bioinformatics', 'Mobile Computing', 'Artificial Intelligence', 'Web Development']",Auditory,Solo,"['Night', 'Night', 'Morning']"
2,David Melendez,30,Intermediate,"['Computer Networks', 'Cloud Computing', 'Embedded Systems', 'Data Structures', 'Computer Vision', 'Natural Language Processing']","['Data Structures', 'Computer Networks']","['Computer Vision', 'Embedded Systems', 'Cloud Computing', 'Natural Language Processing']",Problem-Solving,Solo,['Evening']
3,Emily Cabrera,30,Beginner,"['Machine Learning', 'Deep Learning', 'Cybersecurity', 'Software Engineering', 'Cryptography']","['Software Engineering', 'Cybersecurity']","['Deep Learning', 'Cryptography', 'Machine Learning']",Visual,Group,"['Night', 'Afternoon']"
4,Jonathan Berger,29,Beginner,"['Cybersecurity', 'Data Structures', 'Algorithms', 'Compiler Design', 'Deep Learning', 'Database Management', 'Machine Learning', 'Computer Networks']","['Computer Networks', 'Machine Learning', 'Cybersecurity']","['Database Management', 'Deep Learning', 'Compiler Design', 'Data Structures', 'Algorithms']",Problem-Solving,Group,"['Evening', 'Evening']"
5,Patricia Adams,28,Intermediate,"['Quantum Computing', 'Computer Vision', 'Big Data', 'Computer Networks', 'Bioinformatics', 'Theory of Computation']","['Computer Vision', 'Big Data']","['Computer Networks', 'Bioinformatics', 'Theory of Computation', 'Quantum Computing']",Visual,Solo,['Morning']
6,Steven Martinez,28,Intermediate,"['Cryptography', 'Theory of Computation', 'Computer Vision', 'Bioinformatics', 'Cloud Computing', 'Internet of Things', 'Linear Algebra']","['Linear Algebra', 'Cloud Computing']","['Bioinformatics', 'Cryptography', 'Theory of Computation', 'Computer Vision', 'Internet of Things']",Visual,Solo,"['Night', 'Evening']"
7,Melissa Sandoval,23,Beginner,"['Deep Learning', 'Computer Architecture', 'Cybersecurity', 'Software Engineering', 'Cryptography']","['Deep Learning', 'Cryptography']","['Software Engineering', 'Cybersecurity', 'Computer Architecture']",Problem-Solving,Group,"['Evening', 'Evening', 'Night']"
8,Patricia Moran,28,Beginner,"['Data Structures', 'Software Engineering', 'Probability & Statistics', 'Deep Learning', 'Linear Algebra', 'Cybersecurity', 'Cryptography']","['Cybersecurity', 'Software Engineering']","['Linear Algebra', 'Probability & Statistics', 'Deep Learning', 'Cryptography', 'Data Structures']",Text-based,Group,"['Afternoon', 'Morning', 'Afternoon']"
9,Kathy Howe,22,Advanced,"['Big Data', 'Computer Vision', 'Theory of Computation', 'Software Engineering', 'Network Security', 'Image Processing', 'Cybersecurity', 'Web Development', 'Human-Computer Interaction', 'Reinforcement Learning', 'Digital Logic']","['Human-Computer Interaction', 'Software Engineering', 'Big Data', 'Cybersecurity', 'Web Development', 'Reinforcement Learning']","['Theory of Computation', 'Computer Vision', 'Digital Logic', 'Network Security', 'Image Processing']",Problem-Solving,Solo,"['Afternoon', 'Night', 'Morning']"
10,Connie Ritter,20,Intermediate,"['Big Data', 'Digital Logic', 'Probability & Statistics', 'Neural Networks', 'Web Development', 'Compiler Design', 'Natural Language Processing', 'Cryptography']","['Compiler Design', 'Digital Logic', 'Neural Networks']","['Probability & Statistics', 'Cryptography', 'Natural Language Processing', 'Big Data', 'Web Development']",Auditory,Solo,"['Evening', 'Night']"
