user_id,name,age,study_level,preferred_subjects,strengths,weaknesses,learning_style,study_preference,availability
1,Eric Hansen,20,Beginner,"['Deep Learning', 'Database Management', 'Probability & Statistics', 'Algorithms', 'Artificial Intelligence', 'Compiler Design', 'Linear Algebra', 'Software Engineering']","['Compiler Design', 'Database Management', 'Probability & Statistics']","['Linear Algebra', 'Deep Learning', 'Artificial Intelligence', 'Algorithms', 'Software Engineering']",Visual,Solo,"['Evening', 'Evening']"
2,Sharon Joyce,21,Beginner,"['Cybersecurity', 'Algorithms', 'Artificial Intelligence', 'Compiler Design', 'Computer Networks', 'Machine Learning', 'Probability & Statistics']","['Compiler Design', 'Cybersecurity']","['Probability & Statistics', 'Machine Learning', 'Artificial Intelligence', 'Algorithms', 'Computer Networks']",Auditory,Solo,"['Night', 'Morning', 'Evening']"
3,Anthony Benton,23,Beginner,"['Operating Systems', 'Artificial Intelligence', 'Compiler Design', 'Cybersecurity', 'Algorithms', 'Computer Networks', 'Probability & Statistics']","['Artificial Intelligence', 'Cybersecurity']","['Probability & Statistics', 'Compiler Design', 'Algorithms', 'Operating Systems', 'Computer Networks']",Problem-Solving,Group,"['Evening', 'Morning', 'Evening']"
4,Michael Hernandez,27,Beginner,"['Compiler Design', 'Computer Architecture', 'Algorithms', 'Data Structures', 'Linear Algebra', 'Computer Networks', 'Deep Learning', 'Machine Learning']","['Machine Learning', 'Deep Learning', 'Computer Architecture']","['Linear Algebra', 'Compiler Design', 'Data Structures', 'Algorithms', 'Computer Networks']",Text-based,Group,['Night']
5,Henry Parker,22,Beginner,"['Compiler Design', 'Artificial Intelligence', 'Algorithms', 'Deep Learning', 'Computer Architecture']","['Deep Learning', 'Artificial Intelligence']","['Compiler Design', 'Algorithms', 'Computer Architecture']",Visual,Group,['Afternoon']
6,Kevin Garcia,23,Beginner,"['Probability & Statistics', 'Computer Architecture', 'Artificial Intelligence', 'Algorithms', 'Deep Learning', 'Linear Algebra', 'Compiler Design', 'Machine Learning']","['Deep Learning', 'Linear Algebra', 'Compiler Design']","['Probability & Statistics', 'Machine Learning', 'Computer Architecture', 'Artificial Intelligence', 'Algorithms']",Visual,Solo,"['Night', 'Afternoon']"
7,Sherry Kane,29,Beginner,"['Database Management', 'Cybersecurity', 'Data Structures', 'Linear Algebra', 'Computer Networks', 'Software Engineering']","['Cybersecurity', 'Software Engineering']","['Database Management', 'Computer Networks', 'Linear Algebra', 'Data Structures']",Text-based,Solo,['Evening']
8,Jason Hughes,19,Beginner,"['Probability & Statistics', 'Linear Algebra', 'Database Management', 'Data Structures', 'Cybersecurity', 'Operating Systems', 'Artificial Intelligence', 'Cryptography']","['Data Structures', 'Database Management', 'Cryptography']","['Linear Algebra', 'Probability & Statistics', 'Artificial Intelligence', 'Operating Systems', 'Cybersecurity']",Auditory,Group,"['Evening', 'Evening']"
9,David Parker,30,Beginner,"['Cryptography', 'Cybersecurity', 'Linear Algebra', 'Deep Learning', 'Database Management', 'Probability & Statistics', 'Data Structures', 'Computer Architecture']","['Cryptography', 'Data Structures', 'Linear Algebra']","['Probability & Statistics', 'Database Management', 'Deep Learning', 'Computer Architecture', 'Cybersecurity']",Problem-Solving,Group,"['Evening', 'Evening']"
10,Patrick Holmes,20,Beginner,"['Cybersecurity', 'Linear Algebra', 'Cryptography', 'Algorithms', 'Operating Systems']","['Algorithms', 'Cryptography']","['Operating Systems', 'Linear Algebra', 'Cybersecurity']",Problem-Solving,Group,"['Night', 'Afternoon']"
