user_id,name,age,learning_style_Problem-Solving,learning_style_Text-based,learning_style_Visual,learning_style_string,study_preference_Solo,study_preference_string,study_level_Beginner,study_level_Intermediate,study_level_string,Algorithms,Artificial Intelligence,Augmented Reality,Big Data,Bioinformatics,Blockchains,Cloud Computing,Compiler Design,Computer Architecture,Computer Networks,Computer Vision,Cryptography,Cybersecurity,Data Mining,Data Structures,Database Management,Deep Learning,Digital Logic,Distributed Systems,Embedded Systems,Ethical Hacking,Game Development,Graph Theory,Human-Computer Interaction,Image Processing,Internet of Things,Linear Algebra,Machine Learning,Mathematics for CS,Mobile Computing,Natural Language Processing,Network Security,Neural Networks,Operating System Internals,Operating Systems,Optimization Techniques,Parallel Computing,Pattern Recognition,Physics for CS,Probability & Statistics,Programming Languages,Quantum Computing,Reinforcement Learning,Signal Processing,Software Engineering,Software Testing,Speech Recognition,Theory of Computation,Virtual Reality,Web Development,Wireless Networks,string,recommendations
1,Jennifer Jones,0.8,False,False,False,False,True,False,False,False,False,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[(377, 0.5551436608100315), (263, 0.5527243446983675), (142, 0.5106578958343229)]"
2,David Melendez,1.0,True,False,False,False,True,False,False,True,False,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(203, 0.6877675741396468), (92, 0.6622459187363933), (242, 0.6622459187363933)]"
3,Emily Cabrera,1.0,False,False,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(12, 0.7669649888473703), (320, 0.7419783789933618), (7, 0.7401547886379254)]"
4,Jonathan Berger,0.9666666666666668,True,False,False,False,False,False,True,False,False,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[(414, 0.7967470734631169), (497, 0.756042065863867), (13, 0.7522450861014048)]"
5,Patricia Adams,0.9333333333333332,False,False,True,False,True,False,False,True,False,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"[(102, 0.7200594757495763), (82, 0.6978451427887298), (62, 0.6978451427887298)]"
6,Steven Martinez,0.9333333333333332,False,False,True,False,True,False,False,True,False,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[(139, 0.7546610023799719), (102, 0.6861426616061458), (410, 0.6861426616061458)]"
7,Melissa Sandoval,0.7666666666666666,True,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[(375, 0.7406638340759112), (3, 0.7401547886379254), (18, 0.6987156122104627)]"
8,Patricia Moran,0.9333333333333332,False,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"[(41, 0.7967068272100764), (372, 0.7950803994917962), (346, 0.7795176081630496)]"
9,Kathy Howe,0.7333333333333333,True,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,"[(250, 0.5612718567666658), (189, 0.5596262214786748), (173, 0.5355416782434538)]"
10,Connie Ritter,0.6666666666666666,False,False,False,False,True,False,False,True,False,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"[(235, 0.6845312027740691), (270, 0.68091399987986), (334, 0.6522952405939451)]"
